"equator_url","guideline_id","acronym","title"
"https://www.equator-network.org/reporting-guidelines/reporting-standard-for-describing-first-responder-systems-smartphone-alerting-systems-and-aed-networks/","reporting-standard-for-describing-first-responder-systems-smartphone","","Reporting standard for describing first responder systems, smartphone alerting systems, and AED networks"
"https://www.equator-network.org/reporting-guidelines/supporting-best-practice-in-reflexive-thematic-analysis-reporting-in-palliative-medicine-a-review-of-published-research-and-introduction-to-the-reflexive-thematic-analysis-reporting-guidelines-rtarg/","rtarg","RTARG","Supporting best practice in reflexive thematic analysis reporting in Palliative Medicine: A review of published research and introduction to the Reflexive Thematic Analysis Reporting Guidelines (RTARG)"
"https://www.equator-network.org/reporting-guidelines/the-retrieve-checklist-for-studies-reporting-the-elicitation-of-stated-preferences-for-child-health-related-quality-of-life/","retrieve","RETRIEVE","The RETRIEVE Checklist for Studies Reporting the Elicitation of Stated Preferences for Child Health -Related Quality of Life"
"https://www.equator-network.org/reporting-guidelines/biofield-therapies-guidelines-for-reporting-clinical-trials/","bifi-regs","BiFi REGs","Biofield therapies: Guidelines for reporting clinical trials"
"https://www.equator-network.org/reporting-guidelines/the-reporting-checklist-for-chinese-patent-medicine-guidelines-right-for-cpm/","right-for-cpm","RIGHT for CPM","The reporting checklist for Chinese patent medicine guidelines: RIGHT for CPM"
"https://www.equator-network.org/reporting-guidelines/spirit-surrogate/","spirit-surrogate","SPIRIT-Surrogate","Reporting of surrogate endpoints in randomised controlled trial protocols (SPIRIT-Surrogate) : extension checklist with explanation and elaboration"
"https://www.equator-network.org/reporting-guidelines/the-reporting-of-a-disproportionality-analysis-for-drug-safety-signal-detection-using-individual-case-safety-reports-in-pharmacovigilance-readus-pv-development-and-statement/","readus-pv","READUS-PV","The Reporting of a Disproportionality Analysis for Drug Safety Signal Detection Using Individual Case Safety Reports in PharmacoVigilance (READUS-PV) : Development and Statement"
"https://www.equator-network.org/reporting-guidelines/consensus-reporting-guidelines-to-address-gaps-in-descriptions-of-ultra-rare-genetic-conditions/","phelix","PHELIX","Consensus reporting guidelines to address gaps in descriptions of ultra-rare genetic conditions"
"https://www.equator-network.org/reporting-guidelines/consort-surrogate/","consort-surrogate","CONSORT-Surrogate","Reporting of surrogate endpoints in randomised controlled trial reports (CONSORT-Surrogate) : extension checklist with explanation and elaboration"
"https://www.equator-network.org/reporting-guidelines/the-test-adaptation-reporting-standards-tares-reporting-test-adaptations/","tares","TARES","The Test Adaptation Reporting Standards (TARES) : reporting test adaptations"
"https://www.equator-network.org/reporting-guidelines/development-of-the-reporting-infographics-and-visual-abstracts-of-comparative-studies-riva-c-checklist-and-guide/","riva-c","RIVA-C","Development of the Reporting Infographics and Visual Abstracts of Comparative studies (RIVA-C) checklist and guide"
"https://www.equator-network.org/reporting-guidelines/enlight-a-consensus-checklist-for-reporting-laboratory-based-studies-on-the-non-visual-effects-of-light-in-humans/","enlight","ENLIGHT","ENLIGHT : A consensus checklist for reporting laboratory-based studies on the non-visual effects of light in humans"
"https://www.equator-network.org/reporting-guidelines/repcan-guideline-for-reporting-population-based-cancer-registry-data/","repcan","REPCAN","REPCAN : Guideline for REporting Population-based CANcer Registry Data"
"https://www.equator-network.org/reporting-guidelines/accord-accurate-consensus-reporting-document-a-reporting-guideline-for-consensus-methods-in-biomedicine/","accord","ACCORD","ACCORD (ACcurate COnsensus Reporting Document): A reporting guideline for consensus methods in biomedicine developed via a modified Delphi"
"https://www.equator-network.org/reporting-guidelines/reporting-of-factorial-randomized-trials-extension-of-the-consort-2010-statement/","consort-factorial","CONSORT Factorial","Reporting of Factorial Randomized Trials: Extension of the CONSORT 2010 Statement"
"https://www.equator-network.org/reporting-guidelines/modeling-infectious-diseases-in-healthcare-network-mind-healthcare-framework-for-describing-and-reporting-multidrug-resistant-organism-and-healthcare-associated-infections-agent-based-modeling-metho/","modeling-infectious-diseases-in-healthcare-network-mind-healthcare-framework","","Modeling Infectious Diseases in Healthcare Network (MInD-Healthcare) Framework for Describing and Reporting Multidrug-resistant Organism and Healthcare -Associated Infections Agent-based Modeling Methods"
"https://www.equator-network.org/reporting-guidelines/consensus-statement-for-protocols-of-factorial-randomized-trials-extension-of-the-spirit-2013-statement/","spirit-factorial","SPIRIT Factorial","Consensus Statement for Protocols of Factorial Randomized Trials: Extension of the SPIRIT 2013 Statement"
